week_start,week_end,year,week_of_year,is_partial_week,quantity,sales,profit,order_count,transaction_count,avg_discount
2013-12-30,2014-01-05,2013,1,True,13,324.04,-55.55,3,5,0.32
2014-01-06,2014-01-12,2014,2,False,49,4599.57,1322.74,7,16,0.1125
2014-01-13,2014-01-19,2014,3,False,99,4509.13,398.89,9,22,0.2295
2014-01-20,2014-01-26,2014,4,False,108,3842.39,758.04,9,29,0.0345
2014-01-27,2014-02-02,2014,5,False,33,1642.31,239.55,7,11,0.1318
2014-02-03,2014-02-09,2014,6,False,39,756.89,224.07,8,12,0.1333
2014-02-10,2014-02-16,2014,7,False,47,2780.09,380.96,7,17,0.1294
2014-02-17,2014-02-23,2014,8,False,44,227.24,21.61,8,10,0.28
2014-02-24,2014-03-02,2014,9,False,62,2480.66,-130.76,9,17,0.2059
2014-03-03,2014-03-09,2014,10,False,86,3982.97,-214.38,11,24,0.1542
2014-03-10,2014-03-16,2014,11,False,102,4611.52,874.84,13,28,0.1464
2014-03-17,2014-03-23,2014,12,False,220,38176.81,-586.57,18,56,0.1723
2014-03-24,2014-03-30,2014,13,False,97,4554.62,222.67,17,26,0.0865
2014-03-31,2014-04-06,2014,14,False,194,11193.08,1533.07,25,56,0.1179
2014-04-07,2014-04-13,2014,15,False,163,7445.86,956.04,17,32,0.1516
2014-04-14,2014-04-20,2014,16,False,71,2810.24,180.82,8,18,0.1167
2014-04-21,2014-04-27,2014,17,False,79,4409.65,503.67,11,20,0.19
2014-04-28,2014-05-04,2014,18,False,101,5162.24,849.73,18,29,0.0828
2014-05-05,2014-05-11,2014,19,False,139,7787.83,439.43,18,37,0.1405
2014-05-12,2014-05-18,2014,20,False,56,3274.02,-429.51,13,16,0.175
2014-05-19,2014-05-25,2014,21,False,127,5416.56,1795.04,15,32,0.175
2014-05-26,2014-06-01,2014,22,False,156,11592.21,2331.12,19,37,0.1149
2014-06-02,2014-06-08,2014,23,False,104,6092.87,5.77,17,30,0.2067
2014-06-09,2014-06-15,2014,24,False,88,7124.99,853.93,10,23,0.1304
2014-06-16,2014-06-22,2014,25,False,155,12233.98,2042.23,19,44,0.1959
2014-06-23,2014-06-29,2014,26,False,81,3215.14,248.28,10,19,0.2158
2014-06-30,2014-07-06,2014,27,False,112,4150.19,836.63,18,29,0.1724
2014-07-07,2014-07-13,2014,28,False,148,5768.22,644.68,16,37,0.1365
2014-07-14,2014-07-20,2014,29,False,91,3322.26,216.89,15,33,0.1727
2014-07-21,2014-07-27,2014,30,False,211,19884.35,-2584.71,20,48,0.1958
2014-07-28,2014-08-03,2014,31,False,70,3153.59,532.38,9,19,0.1421
2014-08-04,2014-08-10,2014,32,False,183,12976.08,3274.26,20,45,0.0867
2014-08-11,2014-08-17,2014,33,False,133,4480.22,487.11,13,30,0.1267
2014-08-18,2014-08-24,2014,34,False,107,3925.9,930.77,17,28,0.1357
2014-08-25,2014-08-31,2014,35,False,142,4934.67,388.18,15,35,0.1843
2014-09-01,2014-09-07,2014,36,False,151,7666.2,577.93,22,45,0.1867
2014-09-08,2014-09-14,2014,37,False,363,31458.98,1220.51,40,91,0.1637
2014-09-15,2014-09-21,2014,38,False,219,18341.77,284.69,30,61,0.1525
2014-09-22,2014-09-28,2014,39,False,168,15213.8,5235.19,27,46,0.1624
2014-09-29,2014-10-05,2014,40,False,178,11482.79,1169.66,23,52,0.1615
2014-10-06,2014-10-12,2014,41,False,123,4617.9,506.1,22,33,0.1758
2014-10-13,2014-10-19,2014,42,False,179,11050.8,2297.76,20,45,0.1444
2014-10-20,2014-10-26,2014,43,False,75,3689.77,52.98,14,24,0.2042
2014-10-27,2014-11-02,2014,44,False,247,16567.19,1381.47,25,61,0.1369
2014-11-03,2014-11-09,2014,45,False,235,14572.97,2697.72,28,60,0.1492
