week_start,actual_demand,naive_1step_pred,seasonal_naive_pred,naive_fixed_pred,naive_1step_error,seasonal_naive_error
2017-01-02,79,220.0,82.0,220.0,-141.0,-3.0
2017-01-09,137,79.0,74.0,220.0,58.0,63.0
2017-01-16,147,137.0,89.0,220.0,10.0,58.0
2017-01-23,126,147.0,87.0,220.0,-21.0,39.0
2017-01-30,125,126.0,116.0,220.0,-1.0,9.0
2017-02-06,62,125.0,52.0,220.0,-63.0,10.0
2017-02-13,113,62.0,91.0,220.0,51.0,22.0
2017-02-20,112,113.0,40.0,220.0,-1.0,72.0
2017-02-27,124,112.0,120.0,220.0,12.0,4.0
2017-03-06,140,124.0,209.0,220.0,16.0,-69.0
2017-03-13,266,140.0,124.0,220.0,126.0,142.0
2017-03-20,201,266.0,66.0,220.0,-65.0,135.0
2017-03-27,233,201.0,153.0,220.0,32.0,80.0
2017-04-03,115,233.0,176.0,220.0,-118.0,-61.0
2017-04-10,162,115.0,143.0,220.0,47.0,19.0
2017-04-17,199,162.0,194.0,220.0,37.0,5.0
2017-04-24,181,199.0,49.0,220.0,-18.0,132.0
2017-05-01,225,181.0,181.0,220.0,44.0,44.0
2017-05-08,237,225.0,143.0,220.0,12.0,94.0
2017-05-15,222,237.0,187.0,220.0,-15.0,35.0
2017-05-22,158,222.0,209.0,220.0,-64.0,-51.0
2017-05-29,213,158.0,219.0,220.0,55.0,-6.0
2017-06-05,168,213.0,244.0,220.0,-45.0,-76.0
2017-06-12,207,168.0,133.0,220.0,39.0,74.0
2017-06-19,194,207.0,221.0,220.0,-13.0,-27.0
2017-06-26,212,194.0,112.0,220.0,18.0,100.0
2017-07-03,257,212.0,151.0,220.0,45.0,106.0
2017-07-10,152,257.0,193.0,220.0,-105.0,-41.0
2017-07-17,237,152.0,188.0,220.0,85.0,49.0
2017-07-24,138,237.0,169.0,220.0,-99.0,-31.0
2017-07-31,150,138.0,82.0,220.0,12.0,68.0
2017-08-07,216,150.0,146.0,220.0,66.0,70.0
2017-08-14,207,216.0,151.0,220.0,-9.0,56.0
2017-08-21,246,207.0,241.0,220.0,39.0,5.0
2017-08-28,298,246.0,358.0,220.0,52.0,-60.0
2017-09-04,422,298.0,347.0,220.0,124.0,75.0
2017-09-11,403,422.0,229.0,220.0,-19.0,174.0
2017-09-18,447,403.0,328.0,220.0,44.0,119.0
2017-09-25,257,447.0,182.0,220.0,-190.0,75.0
2017-10-02,296,257.0,132.0,220.0,39.0,164.0
2017-10-09,239,296.0,191.0,220.0,-57.0,48.0
2017-10-16,254,239.0,198.0,220.0,15.0,56.0
2017-10-23,179,254.0,157.0,220.0,-75.0,22.0
2017-10-30,437,179.0,313.0,220.0,258.0,124.0
2017-11-06,416,437.0,395.0,220.0,-21.0,21.0
2017-11-13,485,416.0,280.0,220.0,69.0,205.0
2017-11-20,410,485.0,381.0,220.0,-75.0,29.0
2017-11-27,564,410.0,322.0,220.0,154.0,242.0
2017-12-04,480,564.0,462.0,220.0,-84.0,18.0
2017-12-11,267,480.0,272.0,220.0,-213.0,-5.0
2017-12-18,372,267.0,265.0,220.0,105.0,107.0
2017-12-25,233,372.0,220.0,220.0,-139.0,13.0
