week_start,forecast_quantity,pi_lower_95,pi_upper_95
2018-01-01,169.02,90.26,247.79
2018-01-08,196.86,117.82,275.91
2018-01-15,197.46,117.78,277.14
2018-01-22,184.38,103.58,265.18
2018-01-29,197.73,115.22,280.24
2018-02-05,170.77,85.86,255.69
2018-02-12,184.13,96.05,272.21
2018-02-19,184.93,92.88,276.98
2018-02-26,225.52,128.68,322.37
2018-03-05,242.33,139.88,344.79
2018-03-12,313.58,204.72,422.44
2018-03-19,237.42,121.4,353.44
2018-03-26,294.39,170.5,418.29
2018-04-02,255.14,122.69,387.58
2018-04-09,262.5,120.88,404.12
2018-04-16,260.97,109.58,412.36
2018-04-23,242.41,80.7,404.12
2018-04-30,279.89,107.34,452.44
2018-05-07,264.45,80.57,448.32
2018-05-14,281.85,86.19,477.51
2018-05-21,309.07,101.19,516.94
2018-05-28,281.56,61.05,502.06
2018-06-04,293.55,60.01,527.08
2018-06-11,281.65,34.71,528.59
2018-06-18,284.44,23.74,545.15
2018-06-25,265.82,0.0,540.64
2018-07-02,314.0,24.73,603.26
2018-07-09,267.24,0.0,571.28
2018-07-16,327.13,8.0,646.26
2018-07-23,248.57,0.0,583.1
2018-07-30,274.26,0.0,624.48
2018-08-06,289.87,0.0,656.07
2018-08-13,287.8,0.0,670.26
2018-08-20,331.96,0.0,730.97
2018-08-27,387.88,0.0,803.69
2018-09-03,481.24,48.35,914.12
2018-09-10,427.83,0.0,878.05
2018-09-17,470.69,2.89,938.5
2018-09-24,332.6,0.0,818.24
2018-10-01,309.1,0.0,812.82
2018-10-08,323.0,0.0,845.05
2018-10-15,316.02,0.0,856.63
2018-10-22,338.19,0.0,897.59
2018-10-29,466.07,0.0,1044.5
2018-11-05,495.43,0.0,1093.1
2018-11-12,496.36,0.0,1113.51
2018-11-19,488.2,0.0,1125.05
2018-11-26,528.79,0.0,1185.55
2018-12-03,500.06,0.0,1176.95
2018-12-10,402.64,0.0,1099.87
2018-12-17,448.5,0.0,1166.28
2018-12-24,351.48,0.0,1090.02
