week_start,actual_demand,hw_pred,hw_pi_const_lower,hw_pi_const_upper,hw_pi_lower,hw_pi_upper,hw_pi_expand_lower,hw_pi_expand_upper,seasonal_naive_pred,naive_1step_pred,hw_error,snaive_error
2017-01-02,79.0,115.53,36.81,194.26,36.81,194.26,36.81,194.26,82.0,220.0,-36.53,-3.0
2017-01-09,137.0,132.56,53.84,211.29,53.84,211.29,53.54,211.58,74.0,79.0,4.44,63.0
2017-01-16,147.0,129.25,50.53,207.98,50.53,207.98,49.56,208.95,89.0,137.0,17.75,58.0
2017-01-23,126.0,118.0,39.27,196.72,39.27,196.72,37.12,198.87,87.0,147.0,8.0,39.0
2017-01-30,125.0,135.35,56.62,214.07,56.62,214.07,52.67,218.03,116.0,126.0,-10.35,9.0
2017-02-06,62.0,119.67,40.95,198.4,40.95,198.4,34.46,204.88,52.0,125.0,-57.67,10.0
2017-02-13,113.0,119.69,40.97,198.41,40.97,198.41,31.15,208.23,91.0,62.0,-6.69,22.0
2017-02-20,112.0,120.34,41.62,199.07,41.62,199.07,27.63,213.06,40.0,113.0,-8.34,72.0
2017-02-27,124.0,169.7,90.97,248.42,90.97,248.42,71.96,267.43,120.0,112.0,-45.7,4.0
2017-03-06,140.0,186.02,107.3,264.75,107.3,264.75,82.42,289.63,209.0,124.0,-46.02,-69.0
2017-03-13,266.0,238.27,159.55,317.0,159.55,317.0,127.99,348.56,124.0,140.0,27.73,142.0
2017-03-20,201.0,157.6,78.88,236.33,78.88,236.33,39.86,275.35,66.0,266.0,43.4,135.0
2017-03-27,233.0,222.17,143.44,300.89,143.44,300.89,96.23,348.11,153.0,201.0,10.83,80.0
2017-04-03,115.0,208.42,129.69,287.14,129.69,287.14,73.6,343.23,176.0,233.0,-93.42,-61.0
2017-04-10,162.0,201.71,122.99,280.44,122.99,280.44,57.37,346.05,143.0,115.0,-39.71,19.0
2017-04-17,199.0,186.58,107.85,265.3,107.85,265.3,32.12,341.04,194.0,162.0,12.42,5.0
2017-04-24,181.0,167.1,88.38,245.83,88.38,245.83,1.96,332.24,49.0,199.0,13.9,132.0
2017-05-01,225.0,201.65,122.92,280.37,122.92,280.37,25.3,378.0,181.0,181.0,23.35,44.0
2017-05-08,237.0,176.24,97.52,254.97,97.52,254.97,0.0,364.3,143.0,225.0,60.76,94.0
2017-05-15,222.0,203.74,125.02,282.47,125.02,282.47,3.52,403.97,187.0,237.0,18.26,35.0
2017-05-22,158.0,260.65,181.92,339.37,181.92,339.37,47.81,473.48,209.0,222.0,-102.65,-51.0
2017-05-29,213.0,204.85,126.12,283.57,126.12,283.57,0.0,430.72,219.0,158.0,8.15,-6.0
2017-06-05,168.0,235.11,156.38,313.83,156.38,313.83,0.0,474.41,244.0,213.0,-67.11,-76.0
2017-06-12,207.0,205.57,126.84,284.29,126.84,284.29,0.0,458.69,133.0,168.0,1.43,74.0
2017-06-19,194.0,212.86,134.14,291.59,134.14,291.59,0.0,480.17,221.0,207.0,-18.86,-27.0
2017-06-26,212.0,181.35,102.62,260.07,102.62,260.07,0.0,463.2,112.0,194.0,30.65,100.0
2017-07-03,257.0,229.94,151.21,308.66,151.21,308.66,0.0,526.67,151.0,212.0,27.06,106.0
2017-07-10,152.0,201.74,123.01,280.46,123.01,280.46,0.0,513.69,193.0,257.0,-49.74,-41.0
2017-07-17,237.0,252.65,173.92,331.37,173.92,331.37,0.0,580.13,188.0,152.0,-15.65,49.0
2017-07-24,138.0,180.1,101.38,258.83,101.38,258.83,0.0,523.44,169.0,237.0,-42.1,-31.0
2017-07-31,150.0,209.72,130.99,288.44,130.99,288.44,0.0,569.21,82.0,138.0,-59.72,68.0
2017-08-07,216.0,207.84,129.11,286.56,129.11,286.56,0.0,583.77,146.0,150.0,8.16,70.0
2017-08-14,207.0,207.36,128.63,286.08,128.63,286.08,0.0,600.03,151.0,216.0,-0.36,56.0
2017-08-21,246.0,252.5,173.77,331.22,173.77,331.22,0.0,662.19,241.0,207.0,-6.5,5.0
2017-08-28,298.0,308.92,230.2,387.65,230.2,387.65,0.0,735.91,358.0,246.0,-10.92,-60.0
2017-09-04,422.0,391.46,312.73,470.18,312.73,470.18,0.0,836.01,347.0,298.0,30.54,75.0
2017-09-11,403.0,325.93,247.21,404.66,247.21,404.66,0.0,788.32,229.0,422.0,77.07,174.0
2017-09-18,447.0,367.64,288.92,446.37,288.92,446.37,0.0,848.12,328.0,403.0,79.36,119.0
2017-09-25,257.0,246.1,167.38,324.83,167.38,324.83,0.0,744.93,182.0,447.0,10.9,75.0
2017-10-02,296.0,201.2,122.48,279.93,122.48,279.93,0.0,718.63,132.0,257.0,94.8,164.0
2017-10-09,239.0,237.95,159.23,316.68,159.23,316.68,0.0,774.22,191.0,296.0,1.05,48.0
2017-10-16,254.0,223.02,144.3,301.75,144.3,301.75,0.0,778.38,198.0,239.0,30.98,56.0
2017-10-23,179.0,276.87,198.15,355.6,198.15,355.6,0.0,851.56,157.0,254.0,-97.87,22.0
2017-10-30,437.0,360.91,282.18,439.63,282.18,439.63,0.0,955.16,313.0,179.0,76.09,124.0
2017-11-06,416.0,406.31,327.58,485.03,327.58,485.03,0.0,1020.36,395.0,437.0,9.69,21.0
2017-11-13,485.0,384.15,305.43,462.88,305.43,462.88,0.0,1018.23,280.0,416.0,100.85,205.0
2017-11-20,410.0,397.49,318.77,476.22,318.77,476.22,0.0,1051.83,381.0,485.0,12.51,29.0
2017-11-27,564.0,399.97,321.25,478.7,321.25,478.7,0.0,1074.79,322.0,410.0,164.03,242.0
2017-12-04,480.0,388.9,310.17,467.62,310.17,467.62,0.0,1084.4,462.0,564.0,91.1,18.0
2017-12-11,267.0,329.38,250.66,408.11,250.66,408.11,0.0,1045.81,272.0,480.0,-62.38,-5.0
2017-12-18,372.0,355.09,276.37,433.82,276.37,433.82,0.0,1092.65,265.0,267.0,16.91,107.0
2017-12-25,233.0,271.41,192.68,350.13,192.68,350.13,0.0,1030.31,220.0,372.0,-38.41,13.0
