week_start,actual_demand,ml_pred,ml_rf_pred,hw_pred,sarima_pred,seasonal_naive_pred,naive_1step_pred
2017-01-02,79.0,145.61,103.68,115.53,110.9,82.0,220.0
2017-01-09,137.0,111.49,96.44,132.56,116.81,74.0,79.0
2017-01-16,147.0,113.86,92.13,129.25,117.05,89.0,137.0
2017-01-23,126.0,123.15,113.27,118.0,115.03,87.0,147.0
2017-01-30,125.0,129.77,107.14,135.35,136.55,116.0,126.0
2017-02-06,62.0,120.75,92.5,119.67,103.29,52.0,125.0
2017-02-13,113.0,116.46,99.72,119.69,114.73,91.0,62.0
2017-02-20,112.0,115.98,93.35,120.34,97.5,40.0,113.0
2017-02-27,124.0,145.26,116.49,169.7,158.25,120.0,112.0
2017-03-06,140.0,190.38,264.86,186.02,195.8,209.0,124.0
2017-03-13,266.0,156.69,128.1,238.27,199.26,124.0,140.0
2017-03-20,201.0,149.48,161.2,157.6,129.56,66.0,266.0
2017-03-27,233.0,175.12,181.82,222.17,196.74,153.0,201.0
2017-04-03,115.0,194.09,223.53,208.42,195.41,176.0,233.0
2017-04-10,162.0,174.01,163.56,201.71,189.81,143.0,115.0
2017-04-17,199.0,187.97,159.67,186.58,191.43,194.0,162.0
2017-04-24,181.0,148.65,168.2,167.1,129.44,49.0,199.0
2017-05-01,225.0,199.5,153.69,201.65,192.25,181.0,181.0
2017-05-08,237.0,188.11,171.75,176.24,169.01,143.0,225.0
2017-05-15,222.0,211.11,175.13,203.74,196.2,187.0,237.0
2017-05-22,158.0,219.76,181.37,260.65,245.29,209.0,222.0
2017-05-29,213.0,200.11,168.9,204.85,208.31,219.0,158.0
2017-06-05,168.0,228.3,295.54,235.11,241.64,244.0,213.0
2017-06-12,207.0,189.84,174.66,205.57,176.69,133.0,168.0
2017-06-19,194.0,222.75,293.35,212.86,216.59,221.0,207.0
2017-06-26,212.0,194.89,158.36,181.35,154.62,112.0,194.0
2017-07-03,257.0,202.06,154.44,229.94,201.24,151.0,212.0
2017-07-10,152.0,222.9,165.73,201.74,196.85,193.0,257.0
2017-07-17,237.0,213.65,177.06,252.65,222.89,188.0,152.0
2017-07-24,138.0,218.53,168.98,180.1,173.61,169.0,237.0
2017-07-31,150.0,170.45,176.44,209.72,158.61,82.0,138.0
2017-08-07,216.0,198.23,164.91,207.84,181.39,146.0,150.0
2017-08-14,207.0,202.64,177.5,207.36,184.96,151.0,216.0
2017-08-21,246.0,243.32,315.89,252.5,244.23,241.0,207.0
2017-08-28,298.0,292.86,296.36,308.92,323.67,358.0,246.0
2017-09-04,422.0,311.47,298.78,391.46,363.44,347.0,298.0
2017-09-11,403.0,300.37,289.56,325.93,290.6,229.0,422.0
2017-09-18,447.0,333.51,318.46,367.64,359.37,328.0,403.0
2017-09-25,257.0,298.66,296.05,246.1,215.58,182.0,447.0
2017-10-02,296.0,247.71,195.59,201.2,169.94,132.0,257.0
2017-10-09,239.0,238.9,187.38,237.95,210.83,191.0,296.0
2017-10-16,254.0,259.75,331.11,223.02,212.03,198.0,239.0
2017-10-23,179.0,254.11,174.29,276.87,224.01,157.0,254.0
2017-10-30,437.0,283.55,309.66,360.91,339.89,313.0,179.0
2017-11-06,416.0,356.11,295.77,406.31,396.05,395.0,437.0
2017-11-13,485.0,326.98,308.49,384.15,341.97,280.0,416.0
2017-11-20,410.0,373.82,288.68,397.49,383.47,381.0,485.0
2017-11-27,564.0,356.29,294.34,399.97,372.12,322.0,410.0
2017-12-04,480.0,417.05,292.18,388.9,411.83,462.0,564.0
2017-12-11,267.0,371.51,291.53,329.38,299.48,272.0,480.0
2017-12-18,372.0,308.15,283.68,355.09,317.29,265.0,267.0
2017-12-25,233.0,302.55,316.57,271.41,235.94,220.0,372.0
