week_start,actual_demand,sarima_pred,sarima_pi_lower,sarima_pi_upper,hw_pred,seasonal_naive_pred,naive_1step_pred,sarima_error
2017-01-02,79.0,110.9,0.0,240.48,115.53,82.0,220.0,-31.9
2017-01-09,137.0,116.81,0.0,245.13,132.56,74.0,79.0,20.19
2017-01-16,147.0,117.05,0.0,245.53,129.25,89.0,137.0,29.95
2017-01-23,126.0,115.03,0.0,243.67,118.0,87.0,147.0,10.97
2017-01-30,125.0,136.55,7.75,265.36,135.35,116.0,126.0,-11.55
2017-02-06,62.0,103.29,0.0,232.26,119.67,52.0,125.0,-41.29
2017-02-13,113.0,114.73,0.0,243.86,119.69,91.0,62.0,-1.73
2017-02-20,112.0,97.5,0.0,226.79,120.34,40.0,113.0,14.5
2017-02-27,124.0,158.25,28.8,287.71,169.7,120.0,112.0,-34.25
2017-03-06,140.0,195.8,66.19,325.41,186.02,209.0,124.0,-55.8
2017-03-13,266.0,199.26,69.49,329.03,238.27,124.0,140.0,66.74
2017-03-20,201.0,129.56,0.0,259.5,157.6,66.0,266.0,71.44
2017-03-27,233.0,196.74,66.64,326.83,222.17,153.0,201.0,36.26
2017-04-03,115.0,195.41,65.16,325.67,208.42,176.0,233.0,-80.41
2017-04-10,162.0,189.81,59.39,320.22,201.71,143.0,115.0,-27.81
2017-04-17,199.0,191.43,60.85,322.0,186.58,194.0,162.0,7.57
2017-04-24,181.0,129.44,0.0,260.17,167.1,49.0,199.0,51.56
2017-05-01,225.0,192.25,61.36,323.14,201.65,181.0,181.0,32.75
2017-05-08,237.0,169.01,37.95,300.06,176.24,143.0,225.0,67.99
2017-05-15,222.0,196.2,64.98,327.41,203.74,187.0,237.0,25.8
2017-05-22,158.0,245.29,113.92,376.66,260.65,209.0,222.0,-87.29
2017-05-29,213.0,208.31,76.78,339.84,204.85,219.0,158.0,4.69
2017-06-05,168.0,241.64,109.95,373.32,235.11,244.0,213.0,-73.64
2017-06-12,207.0,176.69,44.84,308.53,205.57,133.0,168.0,30.31
2017-06-19,194.0,216.59,84.59,348.6,212.86,221.0,207.0,-22.59
2017-06-26,212.0,154.62,22.46,286.78,181.35,112.0,194.0,57.38
2017-07-03,257.0,201.24,68.92,333.56,229.94,151.0,212.0,55.76
2017-07-10,152.0,196.85,64.37,329.33,201.74,193.0,257.0,-44.85
2017-07-17,237.0,222.89,90.26,355.52,252.65,188.0,152.0,14.11
2017-07-24,138.0,173.61,40.82,306.4,180.1,169.0,237.0,-35.61
2017-07-31,150.0,158.61,25.67,291.56,209.72,82.0,138.0,-8.61
2017-08-07,216.0,181.39,48.29,314.49,207.84,146.0,150.0,34.61
2017-08-14,207.0,184.96,51.7,318.22,207.36,151.0,216.0,22.04
2017-08-21,246.0,244.23,110.81,377.65,252.5,241.0,207.0,1.77
2017-08-28,298.0,323.67,190.1,457.24,308.92,358.0,246.0,-25.67
2017-09-04,422.0,363.44,229.71,497.17,391.46,347.0,298.0,58.56
2017-09-11,403.0,290.6,156.72,424.49,325.93,229.0,422.0,112.4
2017-09-18,447.0,359.37,225.33,493.41,367.64,328.0,403.0,87.63
2017-09-25,257.0,215.58,81.39,349.78,246.1,182.0,447.0,41.42
2017-10-02,296.0,169.94,35.58,304.29,201.2,132.0,257.0,126.06
2017-10-09,239.0,210.83,76.33,345.34,237.95,191.0,296.0,28.17
2017-10-16,254.0,212.03,77.37,346.69,223.02,198.0,239.0,41.97
2017-10-23,179.0,224.01,89.19,358.82,276.87,157.0,254.0,-45.01
2017-10-30,437.0,339.89,204.92,474.86,360.91,313.0,179.0,97.11
2017-11-06,416.0,396.05,260.92,531.17,406.31,395.0,437.0,19.95
2017-11-13,485.0,341.97,206.69,477.25,384.15,280.0,416.0,143.03
2017-11-20,410.0,383.47,248.03,518.9,397.49,381.0,485.0,26.53
2017-11-27,564.0,372.12,236.54,507.71,399.97,322.0,410.0,191.88
2017-12-04,480.0,411.83,276.09,547.57,388.9,462.0,564.0,68.17
2017-12-11,267.0,299.48,163.59,435.37,329.38,272.0,480.0,-32.48
2017-12-18,372.0,317.29,181.24,453.33,355.09,265.0,267.0,54.71
2017-12-25,233.0,235.94,99.75,372.14,271.41,220.0,372.0,-2.94
